Indicator Name,Indicator Code,Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Net migration,SM.POP.NETM,Liberia,LBR,-2060,7142,-23110,-103564,-1001,101019,77946,65306,17405,1193,2848,91983,-25708,-21995,-26692,-15195,-26822,-24830,-23226,-19697,-10119,-11862,-5000,-5000
Net migration,SM.POP.NETM,Libya,LBY,31970,31097,35582,39618,42112,41035,3351,12641,15257,11670,9613,-862825,5211,25760,-1712,-7660,-5081,9208,5835,-1352,-696,-696,-2000,-2000
Net migration,SM.POP.NETM,St. Lucia,LCA,-773,-556,-240,-182,-118,-88,-78,-27,59,200,438,181,11,0,0,0,0,0,0,0,0,0,0,0
Net migration,SM.POP.NETM,Liechtenstein,LIE,208,110,142,153,114,141,126,124,94,120,86,167,187,195,173,141,175,172,193,178,189,231,150,150
Net migration,SM.POP.NETM,Sri Lanka,LKA,-91900,-15604,-20309,-20932,-1028,-36955,-23795,-19572,-11557,5484,-26603,-13277,-97095,-97189,-97807,-98598,-98896,-98598,-97100,-94897,-92400,-92400,-77495,-77495
Net migration,SM.POP.NETM,Lesotho,LSO,-23572,-24606,-25582,-26420,-27129,-22692,-11085,-9748,-3102,-4626,-6204,-6852,-6827,-6452,-5466,-4129,-3861,-3327,-3234,-2989,-1490,-1490,-4000,-4000
Net migration,SM.POP.NETM,Lithuania,LTU,-31240,-33177,-33905,-34848,-35427,-35453,-34885,-33813,-32451,-30706,-28864,-26445,-24664,-22781,-20883,-18912,-17334,-15937,-14451,-13398,-12625,-11853,-15192,-13128
Net migration,SM.POP.NETM,Luxembourg,LUX,4407,3339,2684,5400,4482,6190,5568,6185,7960,6745,7793,10787,10251,10553,11181,11373,12535,9563,10096,10365,6952,6949,5222,4883
Net migration,SM.POP.NETM,Latvia,LVA,-20514,-19909,-19291,-18671,-18142,-17620,-17116,-16590,-15933,-15152,-14321,-13447,-12981,-12505,-11830,-11163,-10340,-9498,-8632,-7903,-7381,-6815,-8466,-7630
Net migration,SM.POP.NETM,"Macao SAR, China",MAC,4134,6581,11276,11452,11508,11407,11402,11333,11325,11257,11168,9169,6156,6050,6034,6465,6962,7727,8219,8578,8441,4004,5000,5000
Net migration,SM.POP.NETM,St. Martin (French part),MAF,159,158,161,158,158,150,128,98,52,-9,-447,-857,-962,-1013,-865,-662,-734,-816,-1356,-949,-949,-948,0,0
Net migration,SM.POP.NETM,Morocco,MAR,-90376,-84706,-91645,-108908,-66711,-58941,-72241,-73718,-78864,-82207,-70490,-67369,-65136,-67026,-72062,-81202,-57256,-71807,-89007,-91959,-33807,-46242,-39998,-39998
Net migration,SM.POP.NETM,Monaco,MCO,16,-65,-61,-73,-106,-137,-180,-229,318,795,823,858,955,960,988,1019,416,416,416,416,206,206,200,200
Net migration,SM.POP.NETM,Moldova,MDA,-44421,-46128,-46960,-49890,-40505,-51269,-68092,-69289,-70166,-70926,-86459,-88796,-91035,-90637,-67173,-59404,-51633,-43868,-36088,-28328,-14278,-14278,462866,-125204
Net migration,SM.POP.NETM,Madagascar,MDG,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,-1487,-742,-742,-1500,-1500
Net migration,SM.POP.NETM,Maldives,MDV,133,547,542,439,402,195,4945,6106,5931,5992,6244,6504,6660,6794,12535,12526,12191,11665,10578,6690,1134,1189,-8011,-8652
Net migration,SM.POP.NETM,Mexico,MEX,-356430,-348349,-324106,-332396,-270797,-318048,-312270,-309663,-321847,-289132,-41156,4184,-48160,-101719,-100413,-82173,33094,-12438,-99430,-47764,-9949,-52649,-51399,-50239
Net migration,SM.POP.NETM,Marshall Islands,MHL,-1323,-1442,-1532,-1595,-1627,-1637,-1647,-1662,-1641,-1544,-1415,-1901,-1901,-1901,-1901,-1901,-1901,-1901,-1901,-1901,-1901,-1901,0,0
Net migration,SM.POP.NETM,North Macedonia,MKD,5516,7328,-2858,-2880,-2638,-2250,-1858,-1558,-1454,-1478,-1578,-1690,-1758,-1737,-1597,-1378,-1164,-1018,-1000,-987,-486,-486,-1000,-1000
Net migration,SM.POP.NETM,Mali,MLI,-17423,-12530,-8926,-11780,-10805,-17436,-18275,-19966,-24538,-34428,-34523,-43216,-140747,-41013,-50149,-48947,-30294,-33995,-40761,-44428,-14978,-22236,-39998,-39998
Net migration,SM.POP.NETM,Malta,MLT,1799,1687,1507,1238,872,456,183,350,918,1774,3049,4806,6167,7348,8474,9443,10239,10836,11180,11247,10854,10408,850,850
Net migration,SM.POP.NETM,Myanmar,MMR,-106816,-131190,-150317,-165833,-169843,-185133,-186225,-185117,-180646,-158651,-116543,-82753,-61554,-62882,-74923,-94128,-87935,-105438,-114634,-100810,-66228,-35382,-34998,-34998
Net migration,SM.POP.NETM,Montenegro,MNE,-4423,-3408,-3174,-3253,-1848,-1986,-2523,-2903,-3191,-3268,-2017,0,-634,-993,-1742,-1943,-2111,-1980,-2024,-1636,-1326,-101,-480,-480
Net migration,SM.POP.NETM,Mongolia,MNG,-10833,-9448,-8311,-7755,-8142,-8663,-10827,-11805,-11683,-9646,-8592,-1248,-2156,-1527,813,3932,7470,10802,11426,10664,0,0,-850,-850
Net migration,SM.POP.NETM,Northern Mariana Islands,MNP,-1149,-3749,-3923,-4069,-4233,-4365,-4415,-4370,-4207,-3995,-3917,-918,-914,-906,-884,-866,-852,-830,-817,-806,-431,-431,-50,-50
Net migration,SM.POP.NETM,Mozambique,MOZ,-58468,-51429,-44909,-48338,-40129,-52323,-48812,-44273,-62180,-60999,-29343,-8820,10389,22477,31611,30414,77168,14804,-12765,-17639,11745,-9515,-5000,-5000
Net migration,SM.POP.NETM,Mauritania,MRT,-2997,-21099,-18933,-19137,-19075,-18723,-18058,-17078,-8361,-2553,3637,9340,14070,-2987,-2984,-3018,-3009,-3001,-2987,-3018,-1494,-1494,3000,3000
Net migration,SM.POP.NETM,Mauritius,MUS,-2522,-3145,-3357,-3347,-3288,-3221,-3166,-3141,-3127,-3146,-3194,-3520,-3327,-3131,-2932,-2747,-2558,-2381,-2209,-1034,-478,-478,0,0
Net migration,SM.POP.NETM,Malawi,MWI,-29032,-28658,-30010,-31699,-32211,-31428,-29400,-22662,-9242,-8588,-9321,-12133,-13506,-12899,-10309,-6449,-5498,-4795,-3706,-2228,-1775,-1775,-6000,-6000
Net migration,SM.POP.NETM,Malaysia,MYS,174011,198361,224999,226003,244359,245376,251101,247032,217538,194571,114491,115314,113421,102150,94785,80603,97737,78257,60604,60824,57483,46165,48997,48997
Net migration,SM.POP.NETM,Namibia,NAM,5709,2869,-1913,-6153,-7192,-8195,-8792,-8905,-8775,-8626,-8518,-8639,-8596,-8580,-8607,-8596,-8596,-8597,-8596,-8596,-4301,-4301,-4061,-3916
Net migration,SM.POP.NETM,New Caledonia,NCL,969,1001,1022,928,543,83,572,582,580,1005,1709,1756,1793,1860,510,-2230,-2346,-2389,-2386,-2336,-1182,-1182,500,500
Net migration,SM.POP.NETM,Niger,NER,-8533,-8668,-9560,-8855,-9082,-9710,-10071,-10086,-9853,-9028,-8045,-6953,18714,-2551,3883,17051,14833,-6827,-3816,-15787,-4403,-4405,1000,1000
Net migration,SM.POP.NETM,Nigeria,NGA,34146,37267,39619,4194,16528,-46749,-41526,-38960,-43402,-48397,18073,38226,41741,10588,-49351,-145917,-54315,15016,-81384,-103989,-4824,-76364,-59996,-59996
Net migration,SM.POP.NETM,Nicaragua,NIC,-42092,-43839,-44899,-44933,-44221,-33283,-32274,-31360,-30675,-29914,-29081,-28224,-27388,-26589,-25571,-24359,-23081,-21841,-20739,-19733,-10384,-10384,-8000,-8000
Net migration,SM.POP.NETM,Netherlands,NLD,21650,17665,14789,13122,12819,13610,15632,18739,23206,28780,35628,41782,46924,51268,54876,57677,59528,60585,60758,60266,58816,57439,29998,29998
Net migration,SM.POP.NETM,Norway,NOR,9789,7888,17269,11447,13425,18467,24017,39806,43884,39234,42906,47281,47786,40480,38565,30329,26425,21584,18388,25564,10756,10604,27998,27998
Net migration,SM.POP.NETM,Nepal,NPL,-147403,-149185,-160257,-183002,-212507,-238799,-271254,-282748,-294886,-300762,-293613,-347554,-371708,-373065,-310157,-221059,-98016,-78062,-81130,-70597,306664,296541,-62012,-62012
Net migration,SM.POP.NETM,Nauru,NRU,-223,-228,-219,-211,-223,-234,-247,-258,-263,-262,-252,-207,-32,-34,-31,-31,-31,-34,-39,-107,-68,-66,-140,-140
Net migration,SM.POP.NETM,New Zealand,NZL,-6080,17140,47693,42181,24480,19148,14521,2976,4679,12403,6258,-2405,-1539,22547,48532,47165,50012,48815,80419,103392,38220,38220,12999,12999
Net migration,SM.POP.NETM,Oman,OMN,-19889,-20234,-20634,-20635,-855,-630,-398,-755,-2491,-4718,264095,266486,262093,161176,75961,134260,118472,5777,-51177,-106864,-164408,-20664,0,0
Net migration,SM.POP.NETM,Pakistan,PAK,940739,344288,-834546,-578225,-524871,-632467,-628923,-563471,-525915,-338507,-431891,-890633,-1647986,-1906315,-2037911,-2172159,-2290411,-1574581,-1309609,-1177218,-588736,-471395,-165988,-165988
Net migration,SM.POP.NETM,Panama,PAN,2602,2856,3099,3352,3596,3843,4087,4330,4568,4765,4953,5167,5447,5926,7105,8648,10109,11059,11130,10623,5473,5473,7967,7262
Net migration,SM.POP.NETM,Peru,PER,-94554,-128827,-157162,-181202,-194133,-221582,-231739,-236705,-235263,-219304,-181284,-148270,-118758,-95149,-50381,2462,80725,104242,326831,136558,79456,68012,-60652,-61442
Net migration,SM.POP.NETM,Philippines,PHL,-122971,-185071,-195877,-204925,-182951,-223074,-235227,-217909,-190626,-232359,-183268,-103875,-156051,-199869,-237890,6954,79051,36111,-15371,-24066,-41937,-80125,-69996,-69996
Net migration,SM.POP.NETM,Palau,PLW,79,-78,-78,-76,-68,-277,-338,-337,-342,-347,-356,-364,-339,-50,-51,8,8,8,8,8,7,3,-20,-20
Net migration,SM.POP.NETM,Papua New Guinea,PNG,41857,41963,42657,43638,44804,46016,47192,48204,48988,49646,50107,40693,37896,35283,32841,30581,28474,26515,24688,22977,10695,10695,-800,-800
Net migration,SM.POP.NETM,Poland,POL,315602,-21293,-21339,-22621,-17064,-21324,-47251,-29316,-20946,14220,-8835,-12188,-12077,-27597,-24234,-25426,-1967,-1983,-8736,-2974,-779,-2968,3366387,-910475
Net migration,SM.POP.NETM,Puerto Rico,PRI,-22489,-28052,-28183,-29216,-32210,-33430,-33275,-32608,-30804,-29338,-33742,-38794,-45035,-52866,-64956,-64764,-65824,-62275,-17320,-16013,-7408,-7408,16702,19835
Net migration,SM.POP.NETM,"Korea, Dem. People's Rep.",PRK,-3139,-2883,-2770,-2720,-2759,-2860,-2950,-3020,-3046,-3055,-3047,-2958,-2918,-2936,-3039,-3200,-3218,-3222,-3223,-3139,-1589,-1589,-2000,-2000
Net migration,SM.POP.NETM,Portugal,PRT,63195,57075,45651,28311,17114,17155,18775,21954,10008,15657,-11820,-24048,-37448,-36657,-30033,-10124,-8128,5244,10177,43656,40535,27295,9999,9999
Net migration,SM.POP.NETM,Paraguay,PRY,-15880,-27672,-36917,-39940,-40910,-42163,-44565,-45914,-44677,-40108,-26173,-20435,-17761,-17238,-16990,-16833,-16734,-16628,-16470,-16270,-8230,-8230,-12499,-12499
Net migration,SM.POP.NETM,West Bank and Gaza,PSE,-11501,-25657,-35034,-35960,-32854,-28157,-23450,-20334,-23981,-25908,-26350,-26662,-26918,-26976,-27076,-22904,-22774,-25452,-25137,-24737,-12369,-12369,-5000,-5000
Net migration,SM.POP.NETM,French Polynesia,PYF,-460,-431,-304,-130,-61,-93,-342,-1179,-2190,-2603,-2613,-2521,-2639,-1988,-1668,-1676,-1687,-1046,-952,-861,-378,-378,-100,-100
Net migration,SM.POP.NETM,Qatar,QAT,22039,21641,24200,23444,12430,106609,203572,206156,192654,111510,64531,82815,83444,137597,179768,178133,138455,46900,11662,15493,-163999,-30801,0,0
Net migration,SM.POP.NETM,Romania,ROU,-91807,-87561,-101632,-97597,-106593,-129933,-125012,-127609,-138327,-129392,-112173,-47867,-21485,-13890,-20445,-49612,-64002,-58735,-57865,-25453,-12724,-12724,916813,-254616
Net migration,SM.POP.NETM,Russian Federation,RUS,404928,287206,289174,241147,239753,244437,282022,372974,385471,374958,253479,295952,304059,291552,260843,384942,373316,350105,336527,333509,340711,320617,942445,-136414
Net migration,SM.POP.NETM,Rwanda,RWA,-99860,-91955,-47989,-17399,-18936,-23051,-20195,-17724,-16880,-15121,-8394,-5358,-14824,-15833,-15027,-14477,-2605,-5169,-10794,-11823,-1579,-6112,-8999,-8999
Net migration,SM.POP.NETM,Saudi Arabia,SAU,17241,19616,22830,17278,10112,481349,490805,495746,495131,494189,236962,94083,88879,77738,65520,60337,171429,282947,253245,241172,-1025295,-153883,28998,28998
Net migration,SM.POP.NETM,Sudan,SDN,-80698,-136249,-159912,-149595,-86754,-10644,-12376,-13752,-72121,-79473,-331713,-337194,-221502,-185339,85052,49080,97646,189497,74198,-29450,86,-15223,-9999,-9999
Net migration,SM.POP.NETM,Senegal,SEN,-42952,-41509,-40555,-40489,-41027,-41857,-42731,-43365,-43583,-43643,-43569,-43352,-42976,-45857,-37405,-31006,-24720,-20576,-19973,-19973,-10090,-10091,-19999,-19999
Net migration,SM.POP.NETM,Singapore,SGP,39387,32038,22897,19770,15629,80422,149376,147762,145016,142947,109045,72396,67992,67504,60308,40958,36498,35449,35726,40624,21324,19321,26998,26998
Net migration,SM.POP.NETM,Solomon Islands,SLB,-2137,-2511,-2603,-2685,-2745,-2800,-2848,-2901,-2964,-2579,-2225,-1875,-1634,-1603,-1603,-1603,-1603,-1603,-1603,-1603,-808,-808,-1600,-1600
Net migration,SM.POP.NETM,Sierra Leone,SLE,83013,227791,86578,69185,23897,-1805,-34052,-6042,1182,18145,7983,6895,988,2773,485,-356,4657,1234,-2741,-2238,1292,-1544,-4000,-4000
Net migration,SM.POP.NETM,El Salvador,SLV,-97219,-93347,-92034,-91736,-89193,-91042,-89964,-56863,-56087,-55962,-54686,-53440,-50554,-49086,-49130,-51282,-47499,-50616,-54158,-55143,-25214,-27343,-23249,-23249
Net migration,SM.POP.NETM,San Marino,SMR,386,463,590,483,333,381,432,268,213,366,641,1043,195,109,119,317,344,302,137,148,-138,41,100,100
Net migration,SM.POP.NETM,Somalia,SOM,53580,40274,12603,33174,17353,-5955,-67200,8476,-102035,-101795,-88448,-326192,-51833,20723,6065,-17178,124017,38067,40844,48055,-11383,-17071,-30000,-30000
Net migration,SM.POP.NETM,Serbia,SRB,2082,-5,1543,511,480,351,185,117,98,46,-20,28,3968,7198,8072,7368,5901,4465,3346,489,243,243,-9999,-9999
Net migration,SM.POP.NETM,South Sudan,SSD,74224,77854,82850,91958,110187,132868,153929,167356,165553,139129,299400,194323,125766,65337,-471614,-160109,-655870,-672697,-297041,2048,-74415,-31885,-30694,-23291
Net migration,SM.POP.NETM,Sao Tome and Principe,STP,-2512,-1292,-739,-889,-991,-1023,-1072,-1086,-1176,-1306,-1527,-1641,-1736,-1781,-1794,-1800,-1786,-1775,-1758,-1718,0,-792,-600,-600
Net migration,SM.POP.NETM,Suriname,SUR,613,639,723,741,-1684,-1542,-1410,-1316,-1265,-1214,-1145,-1068,-1014,-978,-967,-976,-910,-948,-862,203,-313,-492,-1000,-1000
Net migration,SM.POP.NETM,Slovak Republic,SVK,-1135,-791,-571,-325,-225,-219,-26,363,761,1148,-1558,-1855,2629,1279,1058,2637,3682,3542,3752,3378,1746,1746,425001,-112067
Net migration,SM.POP.NETM,Slovenia,SVN,-1562,-1434,5397,8388,8061,8289,8036,7993,7583,7660,7640,390,219,210,-225,7934,7684,7460,7559,7427,7681,4568,2000,2000
Net migration,SM.POP.NETM,Sweden,SWE,27734,29249,31068,33445,36044,39103,42580,46383,50669,55405,60639,65397,69451,72873,75670,77987,79667,80765,81492,81585,81066,80097,39998,39998
Net migration,SM.POP.NETM,Eswatini,SWZ,-6689,-6832,-7036,-7327,-7656,-8000,-8136,-7997,-10009,-10223,-10467,-10654,-10706,-10662,-10586,-10464,-10295,-10127,-9956,-9796,-4897,-4897,-5733,-5268
Net migration,SM.POP.NETM,Sint Maarten (Dutch part),SXM,-594,-309,-35,-6,9,11,8,63,27,23,-62,0,2953,1609,901,1027,969,-50,640,540,475,212,0,0
Net migration,SM.POP.NETM,Seychelles,SYC,376,363,320,263,245,251,259,276,305,317,376,378,369,323,263,245,251,259,276,305,146,146,-200,-200
Net migration,SM.POP.NETM,Syrian Arab Republic,SYR,-18458,-18374,-17963,-17451,10911,13431,682984,801533,-402356,-52701,-54336,-256835,-999191,-2081259,-1457678,-827474,-133823,-293599,513647,500572,270006,212187,734304,757103
Net migration,SM.POP.NETM,Turks and Caicos Islands,TCA,418,548,778,789,782,794,811,848,873,889,899,821,1256,1337,1005,1663,1312,1425,1403,1358,682,682,200,200
Net migration,SM.POP.NETM,Chad,TCD,-3839,3473,20396,105146,110387,19281,23055,-11340,36443,9108,10419,29255,9516,51887,20842,-48918,21546,16916,46664,-9469,9016,9016,-2000,-2000
Net migration,SM.POP.NETM,Togo,TGO,4710,-1711,-5972,-2797,-1007,-4438,21722,4811,14304,-1997,-1972,-1980,-1992,-1985,-1985,-1985,-1988,-1997,-1997,-1997,-995,-995,-2000,-2000
Net migration,SM.POP.NETM,Thailand,THA,119074,125457,134387,112123,119324,70281,78189,91206,85762,86611,52842,66775,74265,67600,55367,32595,76693,44063,9304,3758,35526,1133,18999,18999
Net migration,SM.POP.NETM,Tajikistan,TJK,-13870,-19655,-20530,-22561,-25080,-27949,-30595,-32834,-34853,-36672,-33731,-30780,-27831,-24877,-21933,-18984,-16029,-13082,-10135,-7192,-3564,-3564,-19999,-19999
Net migration,SM.POP.NETM,Turkmenistan,TKM,-9473,-9062,-8595,-15713,-9254,-8252,-9619,-9637,-9605,-9615,-9627,-9636,-9598,-9603,-9609,-9612,-9616,-9616,-9614,-9612,-4502,-4503,-4000,-4000
Net migration,SM.POP.NETM,Timor-Leste,TLS,-12665,-9894,-9937,-9731,-5797,-1481,-1590,-1970,-3235,-4019,-1607,-309,-769,-1580,-1586,-5529,-5475,-5412,-5352,-5265,-3506,-1997,-5000,-5000
Net migration,SM.POP.NETM,Tonga,TON,-1617,-1647,-1712,-1754,-1793,-1812,-1813,-1985,-2085,-2079,-1948,-2048,-2529,-2558,-2524,-2495,-2206,-2106,-2023,-1898,-948,-948,-800,-800
Net migration,SM.POP.NETM,Trinidad and Tobago,TTO,-5185,-4252,-3613,-3472,-3504,-3595,-3684,-3731,-3624,-3056,-2230,-1410,-880,-796,-799,-583,-103,1446,35502,-19248,2370,2632,-800,-800
Net migration,SM.POP.NETM,Tunisia,TUN,-17475,-18429,-19029,-20774,-24512,-29303,-29586,-29009,-28334,-27364,-25953,11481,-29555,-27026,-26591,-25230,-23826,-22368,-21013,-19609,-9189,-9189,-4000,-4000
Net migration,SM.POP.NETM,Turkiye,TUR,-77647,-64004,-92952,-4115,12764,-23548,-59360,-85513,-75192,31992,69638,68855,297814,393572,703144,341261,375842,-252010,-261813,-218341,-80952,-69729,-301586,-318067
Net migration,SM.POP.NETM,Tuvalu,TUV,-161,-162,-146,-14,-12,-10,-14,-6,-1,9,17,26,8,-150,-152,-159,-170,-155,-57,-57,-15,-15,-60,-60
Net migration,SM.POP.NETM,Tanzania,TZA,-12539,-124527,-118044,-127010,-126446,-128147,-128070,-126739,-184748,-324470,-121993,-84433,-49713,1346,-21079,201562,124444,101235,-56813,-64819,-15795,-4865,-39997,-39997
Net migration,SM.POP.NETM,Uganda,UGA,-52834,-95975,-35155,-96452,-138801,-151432,-156293,-154826,-158848,-164609,-168379,-173065,-175994,-176638,-92291,-62377,123381,92876,60723,107203,43465,43465,-118846,-126181
Net migration,SM.POP.NETM,Ukraine,UKR,-77752,-109322,-36318,11140,-11530,-4936,12013,11518,16490,18178,8366,13301,68840,34043,-65667,-21937,-54333,-50447,-33273,-7812,-2173,831,-6673580,1784718
Net migration,SM.POP.NETM,Uruguay,URY,-11074,-14628,-16958,-17099,-15661,-16092,-13159,-10752,-9460,-8510,-7696,-6982,-6318,-5655,-4914,-4156,-3506,-3090,-2963,-2902,-1486,-1486,-1500,-1500
Net migration,SM.POP.NETM,United States,USA,1479676,1335725,1168499,1074728,1200409,1129462,1113259,1108509,1095864,1031010,1030731,1322433,1323368,1320840,1250914,1221849,1449371,1377630,1200796,1158444,675560,561580,998540,999700
Net migration,SM.POP.NETM,Uzbekistan,UZB,-66569,-48649,-47697,-44098,-38839,-33395,-29201,-27023,-24037,-20379,-20381,-20380,-20382,-20380,-20382,-20380,-35209,-48561,-60066,-69397,-39203,-39201,-19999,-19999
Net migration,SM.POP.NETM,St. Vincent and the Grenadines,VCT,-1618,-1563,-1537,-1699,-1726,-1757,-1780,-1719,-1653,-1659,-1660,-1665,-1569,-1569,-1295,-1295,-1295,-847,-807,-758,-379,-379,-200,-200
Net migration,SM.POP.NETM,"Venezuela, RB",VEN,-2004,-2852,-3934,-5730,-10798,-18400,-27239,-36052,-43636,-50286,-52784,-54377,-55130,-57815,-62437,-77421,-283326,-817764,-1356759,-976460,-525142,-525116,297713,321106
Net migration,SM.POP.NETM,British Virgin Islands,VGB,326,451,571,594,596,658,709,741,801,763,0,562,122,164,260,302,275,281,221,253,272,128,200,200
Net migration,SM.POP.NETM,Virgin Islands (U.S.),VIR,-921,-988,-1041,-1057,-1122,-429,-534,-570,-682,-567,-1090,-1018,-932,-858,-748,-630,-526,-471,-458,-458,0,-224,-450,-450
Net migration,SM.POP.NETM,Viet Nam,VNM,-150955,-162571,-159577,-153880,-150349,-144080,-131559,-119471,-101560,-18546,-4382,-4378,-4545,-4786,-4875,-4761,-4432,-3847,-3080,-4028,-2016,-992,-82700,-82700
Net migration,SM.POP.NETM,Vanuatu,VUT,-458,-336,-351,-386,-425,-448,-481,-498,-531,-680,-882,-934,-879,-824,-785,-756,-404,-403,-403,-403,-197,-197,0,0
Net migration,SM.POP.NETM,Samoa,WSM,-3020,-3489,-3772,-3966,-4022,-4040,-3553,-3334,-3244,-3252,-3274,-3246,-3215,-3182,-3161,-3137,-2772,-2824,-2739,-2469,-1060,-882,-1500,-1500
Net migration,SM.POP.NETM,Kosovo,XKX,-9176,-1995,-29565,-27077,-30715,-33861,-32364,-32547,-34210,-33429,-31889,-3033,-15323,-40468,-56637,-14819,-31383,-33495,-34137,-33469,-15050,-15050,-5000,-5000
Net migration,SM.POP.NETM,"Yemen, Rep.",YEM,-87753,-93742,-99706,-104794,-102701,-51360,-24072,-26971,-28242,-27870,-25573,-21770,-20983,-23747,-30048,-38355,-39688,-39672,-39699,-39769,-86100,-101468,-29998,-29914
Net migration,SM.POP.NETM,South Africa,ZAF,-80388,-29826,50323,65721,58977,31424,33357,36414,36948,41532,68599,65295,68846,63794,290874,644996,-866101,-10681,27265,22728,30852,10934,58496,58496
Net migration,SM.POP.NETM,Zambia,ZMB,-5152,23832,3209,20873,7828,35351,29559,49966,39266,44865,22765,13605,9009,15574,16580,16283,17285,20268,18019,18019,9015,9015,-5000,-5000
Net migration,SM.POP.NETM,Zimbabwe,ZWE,-137321,-136966,-147110,-118634,-156566,-164732,-70231,-145201,-139762,-133436,-133402,-133434,-66709,-59918,-59918,-59918,-59918,-59918,-59918,-59918,-29955,-25005,-9999,-9999
